문 번,정 답
1,2
2,3
3,4
4,3
5,1
6,3
7,1
8,2
9,1
10,5
11,2
12,4
13,5
14,1
15,4
16,4
17,3
18,5
19,2
20,2
문 번,정 답
21,5
22,2
23,5
24,2
25,1
문 번,정 답
1,2
2,4
3,5
4,1
5,4
6,4
7,3
8,5
9,2
10,2
11,2
12,3
13,4
14,3
15,1
16,3
17,1
18,2
19,1
20,5
문 번,정 답
21,5
22,2
23,5
24,2
25,1
문 번,정 답
1,2
2,2
3,4
4,5
5,1
6,4
7,2
8,1
9,3
10,1
11,5
12,1
13,4
14,3
15,2
16,4
17,3
18,5
19,4
20,5
문 번,정 답
21,3
22,4
23,5
24,1
25,3
문 번,정 답
1,5
2,1
3,4
4,3
5,2
6,4
7,3
8,5
9,4
10,5
11,2
12,2
13,4
14,5
15,1
16,4
17,2
18,1
19,3
20,1
문 번,정 답
21,3
22,4
23,5
24,1
25,3
문 번,정 답
1,3
2,2
3,4
4,4
5,5
6,5
7,3
8,3
9,1
10,2
11,1
12,1
13,5
14,1
15,4
16,2
17,2
18,2
19,4
20,1
문 번,정 답
21,5
22,3
23,3
24,5
25,4
문 번,정 답
1,1
2,1
3,5
4,1
5,4
6,2
7,2
8,2
9,4
10,1
11,3
12,2
13,4
14,4
15,5
16,5
17,3
18,3
19,1
20,2
문 번,정 답
21,5
22,3
23,3
24,5
25,4
