문 번,정 답
1,4
2,4
3,3
4,5
5,2
6,4
7,2
8,3
9,4
10,3
11,1
12,3
13,2
14,5
15,2
16,1
17,1
18,1
19,3
20,4
문 번,정 답
21,5
22,4
23,2
24,5
25,2
문 번,정 답
1,1
2,3
3,2
4,5
5,2
6,1
7,1
8,1
9,3
10,4
11,4
12,4
13,3
14,5
15,2
16,4
17,2
18,3
19,4
20,3
문 번,정 답
21,5
22,4
23,2
24,5
25,2
문 번,정 답
1,2
2,5
3,5
4,1
5,1
6,2
7,1
8,4
9,5
10,3
11,2
12,2
13,4
14,5
15,4
16,5
17,1
18,3
19,1
20,3
문 번,정 답
21,5
22,3
23,2
24,4
25,4
문 번,정 답
1,2
2,2
3,4
4,5
5,4
6,5
7,1
8,3
9,1
10,3
11,2
12,5
13,5
14,1
15,1
16,2
17,1
18,4
19,5
20,3
문 번,정 답
21,5
22,3
23,2
24,4
25,4
문 번,정 답
1,3
2,5
3,5
4,2
5,1
6,1
7,3
8,1
9,3
10,2
11,4
12,5
13,5
14,4
15,5
16,3
17,1
18,4
19,4
20,1
문 번,정 답
21,5
22,2
23,3
24,2
25,1
문 번,정 답
1,4
2,5
3,5
4,4
5,5
6,3
7,1
8,4
9,4
10,1
11,3
12,5
13,5
14,2
15,1
16,1
17,3
18,1
19,3
20,2
문 번,정 답
21,5
22,2
23,3
24,2
25,1
