문 번,정 답
1,3
2,1
3,2
4,3
5,2
6,3
7,2
8,1
9,4
10,4
11,3
12,2
13,3
14,1
15,4
16,1
17,4
18,3
19,2
20,3
문 번,정 답
21,4
22,3
23,2
24,1
25,2
문 번,정 답
1,3
2,2
3,3
4,1
5,4
6,1
7,4
8,3
9,2
10,3
11,3
12,1
13,2
14,3
15,2
16,3
17,2
18,1
19,4
20,4
문 번,정 답
21,4
22,3
23,2
24,1
25,2
문 번,정 답
1,5
2,4
3,2
4,4
5,5
6,2
7,2
8,1
9,4
10,1
11,2
12,1
13,1
14,1
15,2
16,3
17,2
18,5
19,2
20,3
문 번,정 답
21,5
22,3
23,5
24,1
25,5
26,5
27,5
28,5
29,3
30,3
31,4
32,4
33,1
34,5
35,3
36,4
37,4
38,1
39,3
40,3
문 번,정 답
1,5
2,3
3,5
4,1
5,5
6,5
7,5
8,5
9,3
10,3
11,4
12,4
13,1
14,5
15,3
16,4
17,4
18,1
19,3
20,3
문 번,정 답
21,5
22,4
23,2
24,4
25,5
26,2
27,2
28,1
29,4
30,1
31,2
32,1
33,1
34,1
35,2
36,3
37,2
38,5
39,2
40,3
문 번,정 답
1,5
2,2
3,3
4,5
5,5
6,1
7,4
8,3
9,1
10,2
11,1
12,3
13,2
14,5
15,4
16,4
17,2
18,3
19,2
20,2
문 번,정 답
21,2
22,4
23,1
24,2
25,1
26,4
27,1
28,1
29,1
30,4
31,5
32,5
33,3
34,1
35,3
36,4
37,4
38,5
39,4
40,3
문 번,정 답
1,2
2,4
3,1
4,2
5,1
6,4
7,1
8,1
9,1
10,4
11,5
12,5
13,3
14,1
15,3
16,4
17,4
18,5
19,4
20,3
문 번,정 답
21,5
22,2
23,3
24,5
25,5
26,1
27,4
28,3
29,1
30,2
31,1
32,3
33,2
34,5
35,4
36,4
37,2
38,3
39,2
40,2
문 번,정 답
1,3
2,5
3,2
4,1
5,1
6,3
7,1
8,5
9,4
10,2
11,3
12,3
13,1
14,4
15,5
16,3
17,5
18,1
19,3
20,4
문 번,정 답
21,3
22,4
23,2
24,5
25,1
26,4
27,1
28,2
29,1
30,4
31,4
32,2
33,5
34,2
35,2
36,5
37,3
38,5
39,5
40,3
문 번,정 답
1,3
2,4
3,2
4,5
5,1
6,4
7,1
8,2
9,1
10,4
11,4
12,2
13,5
14,2
15,2
16,5
17,3
18,5
19,5
20,3
문 번,정 답
21,3
22,5
23,2
24,1
25,1
26,3
27,1
28,5
29,4
30,2
31,3
32,3
33,1
34,4
35,5
36,3
37,5
38,1
39,3
40,4
