연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,S,3,3,4,4,4,4,2,2,1,2,3,1,2,2,2,4,1,1,4,3
,,T,3,1,2,2,2,4,1,1,4,3,3,3,4,4,4,4,2,2,1,2
2,건축구조,S,3,1,2,"2,3",3,4,2,3,1,3,1,2,1,4,4,4,2,2,4,1
,,T,1,2,1,4,4,4,2,2,4,1,3,1,2,"2,3",3,4,2,3,1,3
3,경제학개론,S,2,2,1,1,4,3,3,2,2,1,2,1,4,2,4,1,4,4,3,3
,,T,2,1,4,2,4,1,4,4,3,3,2,2,1,1,4,3,3,2,2,1
4,공업화학,S,2,3,3,3,3,4,1,2,1,4,1,2,2,3,1,4,2,4,4,1
,,T,1,2,2,3,1,4,2,4,4,1,2,3,3,3,3,4,1,2,1,4
5,공직선거법,S,3,3,2,1,3,3,2,4,4,2,2,3,4,4,4,1,2,1,2,1
,,T,2,3,4,4,4,1,2,1,2,1,3,3,2,1,3,3,2,4,4,2
6,과학,S,1,4,4,1,2,4,1,4,3,2,1,3,3,2,1,1,2,4,4,3
,,T,1,3,3,2,1,1,2,4,4,3,1,4,4,1,2,4,1,4,3,2
7,관세법개론,S,2,1,3,1,4,4,1,3,3,2,2,1,2,3,4,1,3,4,2,1
,,T,2,1,2,3,4,1,3,4,2,1,2,1,3,1,4,4,1,3,3,2
8,교육학개론,S,2,4,4,1,1,2,1,4,4,4,3,2,3,1,4,3,1,1,2,3
,,T,3,2,3,1,4,3,1,1,2,3,2,4,4,1,1,2,1,4,4,4
9,교정학개론,S,1,2,2,1,4,4,3,4,3,2,1,2,4,3,4,1,1,2,2,3
,,T,1,2,4,3,4,1,1,2,2,3,1,2,2,1,4,4,3,4,3,2
10,국어,S,2,4,2,1,2,1,1,1,3,4,3,4,2,1,4,2,3,3,4,2
,,T,1,2,4,2,3,1,1,1,2,4,1,4,3,4,2,4,2,2,3,3
11,국제법개론,S,2,3,1,4,4,1,1,3,4,2,4,1,4,2,3,1,2,3,3,1
,,T,4,1,4,2,3,1,2,3,3,1,2,3,1,4,4,1,1,3,4,2
12,기계설계,S,2,1,1,3,3,3,4,4,2,2,1,4,2,4,4,1,2,1,3,3
,,T,1,4,2,4,4,1,2,1,3,3,2,1,1,3,3,3,4,4,2,2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
13,기계일반,S,4,1,3,2,4,2,1,2,3,1,3,1,4,1,4,2,4,3,1,3
,,T,3,1,4,1,4,2,4,3,1,3,4,1,3,2,4,2,1,2,3,1
14,무선공학
개론,S,1,3,1,3,2,2,2,3,4,3,3,3,4,2,1,2,1,4,2,4
,,T,3,3,4,2,1,2,1,4,2,4,1,3,1,3,2,2,2,3,4,3
15,사회,S,1,1,2,4,2,3,2,4,3,1,4,1,2,1,3,3,4,2,4,3
,,T,4,1,2,1,3,3,4,2,4,3,1,1,2,4,2,3,2,4,3,1
16,사회복지학
개론,S,2,3,4,3,2,4,1,4,1,2,3,1,3,1,1,3,2,4,2,2
,,T,3,1,3,1,1,3,2,4,2,2,2,3,4,3,2,4,1,4,1,2
17,세법개론,S,2,4,4,3,2,3,1,1,4,4,2,3,3,3,2,3,1,4,1,4
,,T,2,3,3,3,2,3,1,4,1,4,2,4,4,3,2,3,1,1,4,4
18,수학,S,2,4,4,3,1,2,1,1,3,4,3,2,3,3,1,1,2,4,2,2
,,T,3,2,3,3,1,1,2,4,2,2,2,4,4,3,1,2,1,1,3,4
