연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획학,③,1,2,3,4,3,3,1,1,1,4,3,2,3,2,3,1,4,4,4,1
,,⑤,3,2,3,2,3,1,4,4,4,1,1,2,3,4,3,3,1,1,1,4
2,건축구조학,③,4,4,4,4,2,1,3,3,2,1,1,1,4,2,3,3,2,2,4,4
,,⑤,1,1,4,2,3,3,2,2,4,4,4,4,4,4,2,1,3,3,2,1
3,건축시공학,③,3,2,3,3,4,4,4,2,2,4,2,2,3,4,4,3,1,1,4,1
,,⑤,2,2,3,4,4,3,1,1,4,1,3,2,3,3,4,4,4,2,2,4
4,경영학,③,4,1,3,1,4,3,2,2,3,3,4,3,1,4,2,2,4,4,2,4
,,⑤,4,3,1,4,2,2,4,4,2,4,4,1,3,1,4,3,2,2,3,3
5,경제학,③,1,4,4,4,3,4,3,3,2,1,2,1,4,2,2,1,1,2,2,3
,,⑤,2,1,4,2,2,1,1,2,2,3,1,4,4,4,3,4,3,3,2,1
6,공직선거법,③,1,3,2,3,2,4,1,3,4,1,2,1,2,2,4,1,3,2,4,2
,,⑤,2,1,2,2,4,1,3,2,4,2,1,3,2,3,2,4,1,3,4,1
7,관세법,③,3,3,4,3,2,3,2,4,4,1,3,3,1,2,3,1,4,2,4,2
,,⑤,3,3,1,2,3,1,4,2,4,2,3,3,4,3,2,3,2,4,4,1
8,교육학,③,1,3,3,1,2,2,4,4,3,2,2,4,2,3,3,1,2,4,1,3
,,⑤,2,4,2,3,3,1,2,4,1,3,1,3,3,1,2,2,4,4,3,2
9,교정학,③,4,3,2,3,2,4,3,4,3,1,1,1,1,3,2,4,3,2,3,4
,,⑤,1,1,1,3,2,4,3,2,3,4,4,3,2,3,2,4,3,4,3,1
10,국어(한문포함),③,4,4,2,2,2,2,2,1,3,1,3,2,3,3,1,3,4,2,1,4
,,⑤,3,2,3,3,1,3,4,2,1,4,4,4,2,2,2,2,2,1,3,1
