[Table Placeholder]
문항(배점),1(2),2(2),3(3),4(2),5(2),6(3),7(2),8(2),9(3),10(2)
정답,②,②,②,⑤,④,③,③,④,①,①
문항(배점),11(2),12(2),13(2),14(2),15(2),16(3),17(2),18(2),19(2),20(2)
정답,⑤,④,⑤,①,③,①,⑤,③,⑤,②
문항(배점),21(2),22(2),23(3),24(2),25(2),26(3),27(2),28(2),29(2),30(2)
정답,②,②,④,④,①,③,⑤,③,④,②
문항(배점),31(2),32(2),33(2),34(2),35(3),36(2),37(3),38(2),39(2),40(3)
정답,③,③,②,⑤,④,③,⑤,⑤,④,②
문항(배점),41(2),42(2),43(2),44(3),45(2),,,,,
정답,①,⑤,①,③,③,,,,,
문항(배점),1(2),2(2),3(3),4(2),5(2),6(2),7(3),8(3),9(2),10(2)
정답,①,②,④,⑤,④,②,②,③,③,③
문항(배점),11(3),12(2),13(2),14(3),15(2),16(2),17(2),18(2),19(2),20(3)
정답,⑤,⑤,②,④,⑤,②,②,④,①,④
문항(배점),21(2),22(2),23(3),24(2),25(2),26(2),27(2),28(2),29(3),30(2)
정답,②,①,③,①,①,①,⑤,③,④,⑤
문항(배점),31(2),32(2),33(2),34(2),35(2),36(2),37(2),38(2),39(3),40(2)
정답,④,②,⑤,②,④,②,⑤,④,①,③
문항(배점),41(2),42(3),43(2),44(2),45(2),,,,,
정답,②,⑤,④,④,①,,,,,
문항(배점),1(3),2(3),3(3),4(3),5(4),6(4),7(4),8(4),9(4),10(4)
정답,④,③,②,④,②,⑤,①,⑤,③,⑤
문항(배점),11(4),12(4),13(4),14(5),15(4),16(4),17(4),18(5),19(5),20(5)
정답,③,③,③,④,④,①,①,②,④,②
문항(배점),21(3),22(4),23(4),24(4),25(5),,,,,
정답,753,48,45,167,32,,,,,
