연번,과목명,과목
코드,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,927,사,2,1,2,2,2,3,4,4,1,3,3,3,1,4,2,4,4,3,1,4
,,,처,3,3,1,4,2,4,4,3,1,4,2,1,2,2,2,3,4,4,1,3
2,건축구조,928,사,1,2,2,3,1,3,2,4,3,1,4,2,1,1,3,4,1,3,4,2
,,,처,4,2,1,1,3,4,1,3,4,2,1,2,2,3,1,3,2,4,3,1
3,경제학개론,839,사,1,3,3,2,1,4,3,4,2,3,2,4,4,2,1,4,3,4,1,3
,,,처,2,4,4,2,1,4,3,4,1,3,1,3,3,2,1,4,3,4,2,3
4,공업화학,860,사,4,2,2,4,1,3,1,1,2,2,2,3,3,1,3,4,4,1,3,2
,,,처,2,3,3,1,3,4,4,1,3,2,4,2,2,4,1,3,1,1,2,2
5,공직선거법,840,사,1,3,2,1,1,3,2,3,1,2,2,4,4,3,1,2,4,2,3,3
,,,처,2,4,4,3,1,2,4,2,3,3,1,3,2,1,1,3,2,3,1,2
6,과학,942,사,2,4,4,2,3,3,2,1,1,4,3,1,3,2,4,3,1,4,2,4
,,,처,3,1,3,2,4,3,1,4,2,4,2,4,4,2,3,3,2,1,1,4
7,관세법개론,828,사,3,3,정답없음,2,2,4,1,2,4,2,3,1,4,2,4,4,1,4,1,4
,,,처,3,1,4,2,4,4,1,4,1,4,3,3,정답없음,2,2,4,1,2,4,2
8,교육학개론,830,사,3,3,1,4,2,2,3,3,3,2,4,4,4,1,4,2,4,2,3,1
,,,처,4,4,4,1,4,2,4,2,3,1,3,3,1,4,2,2,3,3,3,2
9,교정학개론,831,사,3,3,3,4,2,2,1,1,4,1,3,4,3,4,4,2,2,4,1,3
,,,처,3,4,3,4,4,2,2,4,1,3,3,3,3,4,2,2,1,1,4,1
10,국어,801,사,3,3,2,2,3,3,1,3,3,4,1,4,2,4,2,1,1,4,4,4
,,,처,1,4,2,4,2,1,1,4,4,4,3,3,2,2,3,3,1,3,3,4
11,국제법개론,836,사,3,1,1,4,4,3,4,4,4,1,4,1,2,2,2,3,4,2,3,3
,,,처,4,1,2,2,2,3,4,2,3,3,3,1,1,4,4,3,4,4,4,1
12,기계설계,903,사,1,2,3,3,4,1,4,2,1,2,4,1,4,2,3,2,3,3,4,1
,,,처,4,1,4,2,3,2,3,3,4,1,1,2,3,3,4,1,4,2,1,2
13,기계일반,901,사,3,4,3,1,1,2,4,3,1,2,3,4,2,1,4,2,3,3,4,2
,,,처,3,4,2,1,4,2,3,3,4,2,3,4,3,1,1,2,4,3,1,2
14,무선공학개론,938,사,4,1,1,3,1,4,3,2,4,2,4,3,1,3,2,1,2,2,4,3
,,,처,4,3,1,3,2,1,2,2,4,3,4,1,1,3,1,4,3,2,4,2
15,사회,804,사,2,2,1,3,2,1,4,2,4,3,2,1,3,4,4,2,1,1,4,3
,,,처,2,1,3,4,4,2,1,1,4,3,2,2,1,3,2,1,4,2,4,3
16,사회복지학개론,833,사,4,2,4,2,3,4,4,3,3,2,1,1,2,3,1,4,2,1,1,2
,,,처,1,1,2,3,1,4,2,1,1,2,4,2,4,2,3,4,4,3,3,2
17,세법개론,823,사,3,4,4,1,1,3,4,2,3,4,3,1,1,2,2,1,2,4,2,3
,,,처,3,1,1,2,2,1,2,4,2,3,3,4,4,1,1,3,4,2,3,4
18,수학,929,사,4,3,4,3,3,4,4,2,4,2,4,3,1,2,1,2,1,2,1,1
,,,처,4,3,1,2,1,2,1,2,1,1,4,3,4,3,3,4,4,2,4,2
19,식용작물,862,사,4,1,2,1,3,4,3,3,2,2,3,2,1,1,4,3,3,4,2,4
,,,처,3,2,1,1,4,3,3,4,2,4,4,1,2,1,3,4,3,3,2,2
20,안전관리론,963,사,3,2,3,1,1,3,4,1,4,3,4,2,1,4,1,2,2,2,2,1
,,,처,4,2,1,4,1,2,2,2,2,1,3,2,3,1,1,3,4,1,4,3
21,영어,802,사,2,4,2,3,3,1,3,2,4,2,1,1,4,1,3,4,3,4,4,2
,,,처,1,1,4,1,3,4,3,4,4,2,2,4,2,3,3,1,3,2,4,2
22,응용역학개론,940,사,1,2,2,4,3,3,4,4,1,2,1,1,4,2,1,3,1,2,3,3
,,,처,1,1,4,2,1,3,1,2,3,3,1,2,2,4,3,3,4,4,1,2
23,임업경영,915,사,4,3,1,2,3,1,3,1,2,4,"1,3",4,3,2,3,2,4,1,4,3
,,,처,"1,3",4,3,2,3,2,4,1,4,3,4,3,1,2,3,1,3,1,2,4
24,재난관리론,962,사,3,4,1,2,3,2,2,4,4,4,1,4,1,3,3,2,2,3,1,1
,,,처,1,4,1,3,3,2,2,3,1,1,3,4,1,2,3,2,2,4,4,4
25,재배학개론,939,사,4,2,4,3,3,2,3,2,1,1,2,4,4,2,4,4,1,3,1,4
,,,처,2,4,4,2,4,4,1,3,1,4,4,2,4,3,3,2,3,2,1,1
26,전기기기,941,사,1,4,1,2,4,3,3,4,2,2,3,2,4,3,2,4,3,1,1,1
,,,처,3,2,4,3,2,4,3,1,1,1,1,4,1,2,4,3,3,4,2,2
27,전기이론,904,사,2,3,2,4,1,1,4,1,2,4,1,4,3,3,3,3,1,2,1,3
,,,처,1,4,3,3,3,3,1,2,1,3,2,3,2,4,1,1,4,1,2,4
28,전자공학개론,937,사,2,4,3,1,3,2,2,4,4,1,3,4,1,2,1,4,4,4,1,1
,,,처,3,4,1,2,1,4,4,4,1,1,2,4,3,1,3,2,2,4,4,1
29,정보보호론,961,사,2,4,1,3,1,4,4,1,1,3,3,3,4,2,2,4,3,2,1,2
,,,처,3,3,4,2,2,4,3,2,1,2,2,4,1,3,1,4,4,1,1,3
30,조림,914,사,3,3,3,2,4,3,3,2,2,4,1,4,2,1,3,2,2,1,4,1
,,,처,1,4,2,1,3,2,2,1,4,1,3,3,3,2,4,3,3,2,2,4
31,컴퓨터일반,936,사,1,2,3,3,2,3,4,2,1,4,1,4,1,2,1,4,3,3,3,2
,,,처,1,4,1,2,1,4,3,3,3,2,1,2,3,3,2,3,4,2,1,4
32,토목설계,926,사,4,3,3,2,2,2,4,4,2,1,3,1,1,3,4,3,1,2,2,3
,,,처,3,1,1,3,4,3,1,2,2,3,4,3,3,2,2,2,4,4,2,1
33,통계학개론,838,사,4,1,2,4,4,2,2,2,4,2,2,1,2,3,3,3,3,1,3,1
,,,처,2,1,2,3,3,3,3,1,3,1,4,1,2,4,4,2,2,2,4,2
34,한국사,835,사,4,4,2,4,2,3,3,3,1,3,3,1,4,4,1,2,2,4,1,3
,,,처,3,1,4,4,1,2,2,4,1,3,4,4,2,4,2,3,3,3,1,3
35,행정법총론,825,사,4,2,4,3,2,1,2,1,4,1,1,4,3,1,4,2,2,3,1,4
,,,처,1,4,3,1,4,2,2,3,1,4,4,2,4,3,2,1,2,1,4,1
36,행정학개론,826,사,2,1,1,2,4,2,1,2,4,4,2,3,3,4,3,3,1,4,2,1
,,,처,2,3,3,4,3,3,1,4,2,1,2,1,1,2,4,2,1,2,4,4
37,형법,820,사,1,2,1,1,4,1,2,3,2,4,1,3,2,3,4,2,3,3,2,4
,,,처,1,3,2,3,4,2,3,3,2,4,1,2,1,1,4,1,2,3,2,4
38,형법총론,834,사,2,2,3,4,1,4,2,3,4,1,2,1,1,3,1,4,4,3,1,2
,,,처,2,1,1,3,1,4,4,3,1,2,2,2,3,4,1,4,2,3,4,1
39,형사소송법,821,사,2,4,4,4,3,1,2,2,1,4,1,3,3,1,4,4,2,1,3,3
,,,처,1,3,3,1,4,4,2,1,3,3,2,4,4,4,3,1,2,2,1,4
40,형사소송법개론,832,사,2,4,3,2,3,2,4,3,3,1,1,4,4,1,2,2,4,3,2,1
,,,처,1,4,4,1,2,2,4,3,2,1,2,4,3,2,3,2,4,3,3,1
41,화학공학일반,908,사,1,4,4,2,3,3,3,2,2,3,2,3,4,1,2,1,4,4,3,1
,,,처,2,3,4,1,2,1,4,4,3,1,1,4,4,2,3,3,3,2,2,3
42,회계원리,829,사,3,4,3,2,1,3,4,4,1,3,4,2,3,1,2,1,1,4,3,2
,,,처,4,2,3,1,2,1,1,4,3,2,3,4,3,2,1,3,4,4,1,3
43,회계학,817,사,3,3,4,2,3,1,4,3,1,2,4,2,3,1,2,4,1,3,1,3
,,,처,4,2,3,1,2,4,1,3,1,3,3,3,4,2,3,1,4,3,1,2
