연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,간호관리,Ⓐ,2,3,1,2,1,4,4,4,3,4,2,1,2,3,3,4,1,1,3,1
,,Ⓒ,2,3,4,2,1,1,4,4,2,4,2,1,3,3,3,1,1,1,2,1
2,건축계획,Ⓐ,4,2,2,3,1,3,4,2,1,4,4,1,3,2,4,4,4,2,2,3
,,Ⓒ,4,2,3,3,1,2,4,2,4,4,4,1,2,2,4,1,4,2,3,3
3,건축구조,Ⓐ,1,1,4,2,2,4,4,2,4,4,4,3,2,1,4,3,3,2,3,1
,,Ⓒ,1,1,1,2,2,1,4,2,1,4,4,3,3,1,4,2,3,2,2,1
4,공업화학,Ⓐ,1,3,4,2,1,4,3,4,2,2,2,4,4,3,4,1,2,3,2,4
,,Ⓒ,1,3,1,2,1,1,3,4,3,2,2,4,1,3,4,4,2,3,3,4
5,과학,Ⓐ,3,1,3,4,2,4,2,3,1,4,2,3,1,2,4,2,1,3,2,4
,,Ⓒ,3,1,2,4,2,1,2,3,4,4,2,3,4,2,4,3,1,3,3,4
6,국어,Ⓐ,1,2,1,4,2,1,2,3,1,2,3,1,4,3,4,2,3,1,4,3
,,Ⓒ,1,2,4,4,2,4,2,3,4,2,3,1,1,3,4,3,3,1,1,3
7,기계설계,Ⓐ,1,4,2,3,3,4,4,1,1,2,3,4,2,1,2,2,4,4,2,2
,,Ⓒ,1,4,3,3,3,1,4,1,4,2,3,4,3,1,2,3,4,4,3,2
8,기계일반,Ⓐ,3,1,2,2,4,4,1,1,1,2,3,2,4,1,3,4,3,4,2,2
,,Ⓒ,3,1,3,2,4,1,1,1,4,2,3,2,1,1,3,1,3,4,3,2
9,사회,Ⓐ,4,2,1,4,2,2,3,2,4,3,4,4,1,3,1,2,3,2,4,3
,,Ⓒ,4,2,4,4,2,3,3,2,1,3,4,4,4,3,1,3,3,2,1,3
10,사회복지학개론,Ⓐ,2,3,4,3,2,4,4,1,3,2,4,1,1,2,4,1,3,2,3,4
,,Ⓒ,2,3,1,3,2,1,4,1,2,2,4,1,4,2,4,4,3,2,2,4
11,수학,Ⓐ,4,1,1,2,3,2,2,3,3,4,4,1,2,1,2,3,4,1,1,3
,,Ⓒ,4,1,4,2,3,3,2,3,2,4,4,1,3,1,2,2,4,1,4,3
12,식용작물,Ⓐ,3,2,3,1,4,4,2,4,2,4,1,1,3,1,3,2,4,1,1,2
,,Ⓒ,3,2,2,1,4,1,2,4,3,4,1,1,2,1,3,3,4,1,4,2
13,안전관리론,Ⓐ,2,3,4,3,1,4,4,1,1,2,4,2,2,1,4,4,3,2,3,4
,,Ⓒ,2,3,1,3,1,1,4,1,4,2,4,2,3,1,4,1,3,2,2,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
14,영어,Ⓐ,1,1,4,3,4,2,2,2,2,4,4,1,3,4,4,3,1,3,1,2
,,Ⓒ,1,1,1,3,4,3,2,2,3,4,4,1,2,4,4,2,1,3,4,2
15,응용역학개론,Ⓐ,2,3,4,2,2,4,3,4,1,3,3,4,2,3,3,4,1,2,1,4
,,Ⓒ,2,3,1,2,2,1,3,4,4,3,3,4,3,3,3,1,1,2,4,4
16,임업경영,Ⓐ,3,3,4,2,4,1,2,4,3,2,3,1,2,3,4,4,2,1,1,3
,,Ⓒ,3,3,1,2,4,4,2,4,2,2,3,1,3,3,4,1,2,1,4,3
17,자료조직개론,Ⓐ,3,1,2,2,2,1,3,1,4,3,4,3,4,4,1,4,2,3,4,2
,,Ⓒ,3,1,3,2,2,4,3,1,1,3,4,3,1,4,1,1,2,3,1,2
18,재난관리론,Ⓐ,2,3,3,1,1,2,4,3,1,3,1,1,2,4,4,4,1,2,2,1
,,Ⓒ,2,3,2,1,1,3,4,3,4,3,1,1,3,4,4,1,1,2,3,1
19,재배학개론,Ⓐ,2,1,4,2,4,4,2,2,3,4,3,4,1,2,2,1,4,3,2,3
,,Ⓒ,2,1,1,2,4,1,2,2,2,4,3,4,4,2,2,4,4,3,3,3
20,전기기기,Ⓐ,3,1,2,2,4,2,2,1,3,3,3,4,2,2,2,3,4,1,4,3
,,Ⓒ,3,1,3,2,4,3,2,1,2,3,3,4,3,2,2,2,4,1,1,3
21,전기이론,Ⓐ,4,3,1,1,3,3,2,1,1,2,4,3,2,2,2,3,4,4,3,1
,,Ⓒ,4,3,4,1,3,2,2,1,4,2,4,3,3,2,2,2,4,4,2,1
22,정보보호론,Ⓐ,2,4,4,2,2,3,3,4,1,4,2,1,2,3,1,1,2,2,4,4
,,Ⓒ,2,4,1,2,2,2,3,4,4,4,2,1,3,3,1,4,2,2,1,4
23,정보봉사개론,Ⓐ,2,3,4,4,2,2,3,2,4,2,1,4,2,4,4,1,2,3,1,4
,,Ⓒ,2,3,1,4,2,3,3,2,1,2,1,4,3,4,4,4,2,3,4,4
24,조림,Ⓐ,1,2,4,3,1,2,1,3,2,4,4,4,3,2,2,4,4,3,2,1
,,Ⓒ,1,2,1,3,1,3,1,3,3,4,4,4,2,2,2,1,4,3,3,1
25,지방세법,Ⓐ,1,1,4,2,4,1,4,2,1,4,3,3,3,2,2,4,1,3,1,4
,,Ⓒ,1,1,1,2,4,4,4,2,4,4,3,3,2,2,2,1,1,3,4,4
26,지역사회간호,Ⓐ,2,3,4,3,4,3,2,3,2,1,2,4,4,1,1,4,4,2,2,2
,,Ⓒ,2,3,1,3,4,2,2,3,3,1,2,4,1,1,1,1,4,2,3,2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
27,지역사회간호학,Ⓐ,2,3,4,3,4,3,2,3,2,1,2,4,4,1,1,4,4,2,2,2
,,Ⓒ,2,3,1,3,4,2,2,3,3,1,2,4,1,1,1,1,4,2,3,2
28,지적전산학개론,Ⓐ,3,3,2,2,1,2,2,4,3,3,2,2,1,4,4,3,4,1,2,1
,,Ⓒ,3,3,3,2,1,3,2,4,2,3,2,2,4,4,4,2,4,1,3,1
29,지적측량,Ⓐ,2,2,1,1,3,2,1,3,4,4,3,2,4,3,4,1,2,2,4,3
,,Ⓒ,2,2,4,1,3,3,1,3,1,4,3,2,1,3,4,4,2,2,1,3
30,컴퓨터일반,Ⓐ,1,2,3,4,1,1,2,1,3,3,4,2,2,4,3,4,4,1,3,4
,,Ⓒ,1,2,2,4,1,4,2,1,2,3,4,2,3,4,3,1,4,1,2,4
31,토목설계,Ⓐ,2,4,3,4,2,3,1,3,3,1,3,1,2,3,3,1,4,1,4,1
,,Ⓒ,2,4,2,4,2,2,1,3,2,1,3,1,3,3,3,4,4,1,1,1
32,한국사,Ⓐ,3,1,4,4,4,3,3,1,2,2,1,3,2,2,4,3,1,3,4,3
,,Ⓒ,3,1,1,4,4,2,3,1,3,2,1,3,3,2,4,2,1,3,1,3
33,행정법총론,Ⓐ,2,2,4,2,1,4,2,3,2,3,2,4,1,3,3,4,1,4,2,1
,,Ⓒ,2,2,1,2,1,1,2,3,3,3,2,4,4,3,3,1,1,4,3,1
34,행정학개론,Ⓐ,2,2,1,4,3,4,1,4,2,4,2,2,1,3,4,3,1,3,4,3
,,Ⓒ,2,2,4,4,3,1,1,4,3,4,2,2,4,3,4,2,1,3,1,3
35,행정학개론
(지방행정포함),Ⓐ,2,2,1,4,3,4,1,4,2,4,2,2,1,3,4,3,1,3,4,3
,,Ⓒ,2,2,4,4,3,1,1,4,3,4,2,2,4,3,4,2,1,3,1,3
36,화학,Ⓐ,1,1,2,3,3,3,2,2,4,3,1,4,4,1,4,2,4,3,1,4
