연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획학,가,4,1,2,2,1,3,3,4,2,3,3,1,2,2,4,4,1,1,3,3
,,다,4,4,2,2,4,3,3,1,2,3,3,4,2,2,1,4,1,4,3,3
2,건축구조학,가,4,4,3,3,1,4,2,1,2,1,3,2,2,2,3,3,4,3,1,4
,,다,4,1,3,3,4,4,2,4,2,1,3,3,2,2,2,3,4,2,1,4
3,건축시공학,가,3,3,4,4,2,1,3,4,3,1,1,1,3,2,1,2,2,4,1,3
,,다,3,2,4,4,3,1,3,1,3,1,1,4,3,2,4,2,2,1,1,3
4,경영학,가,3,2,1,3,1,3,2,4,3,2,1,2,4,1,3,2,4,4,1,3
,,다,3,3,1,3,4,3,2,1,3,2,1,3,4,1,2,2,4,1,1,3
5,경제학,가,4,1,3,3,3,2,4,2,3,4,4,2,2,1,4,2,1,2,1,1
,,다,4,4,3,3,2,2,4,3,3,4,4,3,2,1,1,2,1,3,1,1
6,공직선거법,가,4,2,1,1,3,1,3,3,4,4,3,4,4,1,3,2,2,3,4,3
,,다,4,3,1,1,2,1,3,2,4,4,3,1,4,1,2,2,2,2,4,3
7,관세법,가,4,1,4,1,4,4,2,3,2,3,1,3,1,2,2,4,3,2,3,4
,,다,4,4,4,1,1,4,2,2,2,3,1,2,1,2,3,4,3,3,3,4
8,교육학,가,3,4,3,4,2,1,2,4,1,4,2,1,4,3,3,4,3,1,2,1
,,다,3,1,3,4,3,1,2,1,1,4,2,4,4,3,2,4,3,4,2,1
9,교정학,가,4,3,4,3,4,1,3,3,1,1,4,3,1,4,2,4,2,2,4,2
,,다,4,2,4,3,1,1,3,2,1,1,4,2,1,4,3,4,2,3,4,2
10,국어,가,2,2,3,3,4,3,4,1,2,1,4,3,2,2,3,1,3,1,3,2
,,다,2,3,3,3,1,3,4,4,2,1,4,2,2,2,2,1,3,4,3,2
11,국제법,가,2,4,1,3,1,1,2,4,3,4,3,3,2,1,2,3,4,3,2,3
,,다,2,1,1,3,4,1,2,1,3,4,3,2,2,1,3,3,4,2,2,3
12,국제정치학,가,3,3,1,3,1,1,2,2,4,2,3,3,1,1,4,2,1,3,4,4
,,다,3,2,1,3,4,1,2,3,4,2,3,2,1,1,1,2,1,2,4,4
13,기계공작법,가,2,2,1,4,2,2,3,3,2,3,4,3,4,4,1,1,4,2,3,1
,,다,2,3,1,4,3,2,3,2,2,3,4,2,4,4,4,1,4,3,3,1
14,기계설계,가,2,1,4,1,3,2,4,3,1,3,4,3,4,3,1,4,3,4,2,2
,,다,2,4,4,1,2,2,4,2,1,3,4,2,4,3,4,4,3,1,2,2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
15,노동법,가,4,1,2,4,2,3,1,4,4,1,3,3,2,1,1,3,4,2,2,1
,,다,4,4,2,4,3,3,1,1,4,1,3,2,2,1,4,3,4,3,2,1
16,데이터베이스론,가,2,1,4,2,2,2,4,4,3,4,4,3,1,2,3,4,4,3,3,1
,,다,2,4,4,2,3,2,4,1,3,4,4,2,1,2,2,4,4,2,3,1
17,도시계획,가,1,1,1,4,3,3,4,3,3,2,1,3,3,2,2,4,4,4,2,3
,,다,1,4,1,4,2,3,4,2,3,2,1,2,3,2,3,4,4,1,2,3
18,독어,가,2,1,1,4,2,3,2,3,1,3,1,2,2,4,3,3,1,4,2,4
,,다,2,4,1,4,3,3,2,2,1,3,1,3,2,4,2,3,1,1,2,4
19,러시아어,가,4,2,4,4,3,3,4,4,2,1,2,1,2,3,1,1,4,3,1,1
,,다,4,3,4,4,2,3,4,1,2,1,2,4,2,3,4,1,4,2,1,1
20,무역학,가,4,2,4,1,4,3,2,1,1,2,3,2,4,2,4,3,3,4,3,4
,,다,4,3,4,1,1,3,2,4,1,2,3,3,4,2,1,3,3,1,3,4
21,물리학개론,가,4,2,2,2,3,3,1,4,4,3,4,1,2,1,4,3,4,1,3,3
,,다,4,3,2,2,2,3,1,1,4,3,4,4,2,1,1,3,4,4,3,3
22,반응공학,가,4,4,4,3,2,1,2,1,3,1,2,3,2,3,1,3,3,3,4,1
,,다,4,1,4,3,3,1,2,4,3,1,2,2,2,3,4,3,3,2,4,1
23,방재관계법규,가,4,3,1,1,2,3,1,3,2,3,4,4,4,4,2,2,4,1,2,3
,,다,4,2,1,1,3,3,1,2,2,3,4,1,4,4,3,2,4,4,2,3
24,불어,가,1,3,4,2,2,3,3,1,1,3,2,4,1,4,4,2,3,3,4,1
,,다,1,2,4,2,3,3,3,4,1,3,2,1,1,4,1,2,3,2,4,1
25,생물학개론,가,4,3,1,3,4,4,4,1,4,2,2,3,3,2,2,2,1,4,2,4
,,다,4,2,1,3,1,4,4,4,4,2,2,2,3,2,3,2,1,1,2,4
26,세법,가,1,2,4,4,1,4,3,2,2,1,3,3,2,1,2,3,4,2,1,2
,,다,1,3,4,4,4,4,3,3,2,1,3,2,2,1,3,3,4,3,1,2
27,소프트웨어공학,가,1,4,4,1,3,2,3,1,1,1,2,2,2,3,3,4,4,1,3,4
,,다,1,1,4,1,2,2,3,4,1,1,2,3,2,3,2,4,4,4,3,4
28,수리수문학,가,3,2,3,1,2,2,3,3,2,4,4,3,4,4,3,2,1,3,1,2
,,다,3,3,3,1,3,2,3,2,2,4,4,2,4,4,2,2,1,2,1,2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
29,스페인어,가,2,4,1,1,2,1,3,3,4,2,4,3,3,1,2,4,1,1,2,4
,,다,2,1,1,1,3,1,3,2,4,2,4,2,3,1,3,4,1,4,2,4
30,식용작물학,가,2,3,1,2,4,2,4,1,4,3,1,1,4,3,3,2,4,1,3,1
,,다,2,2,1,2,1,2,4,4,4,3,1,4,4,3,2,2,4,4,3,1
31,안전관리론,가,4,3,2,3,4,3,4,3,4,3,1,3,2,4,1,4,1,1,2,3
,,다,4,2,2,3,1,3,4,2,4,3,1,2,2,4,4,4,1,4,2,3
32,응용역학,가,4,3,2,2,1,4,2,2,2,1,1,1,4,3,3,3,3,4,4,3
,,다,4,2,2,2,4,4,2,3,2,1,1,4,4,3,2,3,3,1,4,3
