연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,간호관리,B,4,4,3,3,2,4,4,2,4,3,2,4,1,1,2,1,1,2,1,3
,,D,4,3,4,3,2,4,2,4,4,3,2,1,4,1,2,1,1,2,1,3
2,건축계획,B,2,1,3,2,2,2,3,4,1,4,4,1,2,3,3,2,4,1,1,1
,,D,2,3,1,2,2,2,4,3,1,4,4,2,1,3,3,2,4,1,1,1
3,건축구조,B,4,4,3,1,2,2,2,4,1,3,3,2,3,2,2,1,4,3,3,4
,,D,4,3,4,1,2,2,4,2,1,3,3,3,2,2,2,1,4,3,3,4
4,공업화학,B,4,2,3,3,1,1,2,4,2,3,3,4,2,1,3,2,1,3,2,2
,,D,4,3,2,3,1,1,4,2,2,3,3,2,4,1,3,2,1,3,2,2
5,과학,B,3,1,4,3,4,4,1,3,3,2,3,1,2,4,1,1,2,2,3,4
,,D,3,4,1,3,4,4,3,1,3,2,3,2,1,4,1,1,2,2,3,4
6,국어,B,4,2,1,1,3,3,1,2,4,3,1,4,2,3,2,3,3,1,4,3
,,D,4,1,2,1,3,3,2,1,4,3,1,2,4,3,2,3,3,1,4,3
7,기계설계,B,1,3,2,3,1,3,2,4,2,2,4,3,4,3,2,1,3,2,1,1
,,D,1,2,3,3,1,3,4,2,2,2,4,4,3,3,2,1,3,2,1,1
8,기계일반,B,2,3,2,1,3,3,4,2,2,3,3,1,2,4,4,4,4,1,3,1
,,D,2,2,3,1,3,3,2,4,2,3,3,2,1,4,4,4,4,1,3,1
9,사회,B,2,4,1,2,4,2,4,2,2,4,3,4,1,3,4,1,3,3,2,4
,,D,2,1,4,2,4,2,2,4,2,4,3,1,4,3,4,1,3,3,2,4
10,사회복지학개론,B,3,1,3,3,4,2,3,1,4,3,1,2,1,4,3,2,4,4,4,4
,,D,3,3,1,3,4,2,1,3,4,3,1,1,2,4,3,2,4,4,4,4
11,수학,B,3,1,2,3,3,1,2,3,2,4,2,2,1,4,1,3,4,1,2,2
,,D,3,2,1,3,3,1,3,2,2,4,2,1,2,4,1,3,4,1,2,2
