연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,간호관리,B,4,4,3,3,2,4,4,2,4,3,2,4,1,1,2,1,1,2,1,3
,,D,4,3,4,3,2,4,2,4,4,3,2,1,4,1,2,1,1,2,1,3
2,건축계획,B,2,1,3,2,2,2,3,4,1,4,4,1,2,3,3,2,4,1,1,1
,,D,2,3,1,2,2,2,4,3,1,4,4,2,1,3,3,2,4,1,1,1
3,건축구조,B,4,4,3,1,2,2,2,4,1,3,3,2,3,2,2,1,4,3,3,4
,,D,4,3,4,1,2,2,4,2,1,3,3,3,2,2,2,1,4,3,3,4
4,과학,B,3,1,4,3,4,4,1,3,3,2,3,1,2,4,1,1,2,2,3,4
,,D,3,4,1,3,4,4,3,1,3,2,3,2,1,4,1,1,2,2,3,4
5,교육학개론,B,1,3,2,2,3,1,2,1,4,1,1,4,2,4,3,3,4,1,2,4
,,D,1,2,3,2,3,1,1,2,4,1,1,2,4,4,3,3,4,1,2,4
6,국어,B,4,2,1,1,3,3,1,2,4,3,1,4,2,3,2,3,3,1,4,3
,,D,4,1,2,1,3,3,2,1,4,3,1,2,4,3,2,3,3,1,4,3
7,기계설계,B,1,3,2,3,1,3,2,4,2,2,4,3,4,3,2,1,3,2,1,1
,,D,1,2,3,3,1,3,4,2,2,2,4,4,3,3,2,1,3,2,1,1
8,기계일반,B,2,3,2,1,3,3,4,2,2,3,3,1,2,4,4,4,4,1,3,1
,,D,2,2,3,1,3,3,2,4,2,3,3,2,1,4,4,4,4,1,3,1
9,사회,B,2,4,1,2,4,2,4,2,2,4,3,4,1,3,4,1,3,3,2,4
,,D,2,1,4,2,4,2,2,4,2,4,3,1,4,3,4,1,3,3,2,4
10,수학,B,3,1,2,3,3,1,2,3,2,4,2,2,1,4,1,3,4,1,2,2
,,D,3,2,1,3,3,1,3,2,2,4,2,1,2,4,1,3,4,1,2,2
11,영어,B,2,4,2,1,3,4,3,2,1,3,2,1,2,4,3,3,1,3,4,4
,,D,2,2,4,1,3,4,2,3,1,3,2,2,1,4,3,3,1,3,4,4
12,응용역학개론,B,4,3,4,1,1,2,2,3,2,2,1,4,2,2,1,3,3,2,1,3
,,D,4,4,3,1,1,2,3,2,2,2,1,2,4,2,1,3,3,2,1,3
13,자료조직개론,B,2,1,3,2,3,4,3,1,2,1,1,2,3,4,3,4,3,3,4,1
,,D,2,3,1,2,3,4,1,3,2,1,1,3,2,4,3,4,3,3,4,1
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
14,전기기기,B,2,2,3,3,2,1,4,1,4,4,3,3,4,1,2,1,3,2,4,4
,,D,2,3,2,3,2,1,1,4,4,4,3,4,3,1,2,1,3,2,4,4
15,전기이론,B,4,3,4,2,1,4,2,1,4,1,3,1,2,4,3,1,3,2,1,3
,,D,4,4,3,2,1,4,1,2,4,1,3,2,1,4,3,1,3,2,1,3
16,정보보호론,B,2,1,4,1,2,1,4,3,3,4,2,3,1,3,2,4,3,3,1,3
,,D,2,4,1,1,2,1,3,4,3,4,2,1,3,3,2,4,3,3,1,3
17,정보봉사개론,B,4,2,1,4,4,1,4,3,3,4,2,1,3,1,2,2,3,2,1,4
,,D,4,1,2,4,4,1,3,4,3,4,2,3,1,1,2,2,3,2,1,4
18,지역사회간호,B,4,3,1,2,2,3,3,1,2,1,1,3,4,4,4,1,3,2,4,4
,,D,4,1,3,2,2,3,1,3,2,1,1,4,3,4,4,1,3,2,4,4
19,컴퓨터일반,B,2,4,2,4,1,2,1,3,3,1,4,3,2,2,3,3,2,3,4,1
,,D,2,2,4,4,1,2,3,1,3,1,4,2,3,2,3,3,2,3,4,1
20,토목설계,B,1,2,4,2,1,1,2,4,4,1,2,2,3,3,2,4,2,1,4,3
,,D,1,4,2,2,1,1,4,2,4,1,2,3,2,3,2,4,2,1,4,3
21,한국사,B,4,1,2,1,4,1,2,3,3,4,2,3,2,3,2,2,4,1,1,3
,,D,4,2,1,1,4,1,3,2,3,4,2,2,3,3,2,2,4,1,1,3
22,행정법총론,B,4,4,2,3,4,1,4,3,1,3,1,4,2,4,2,2,3,3,2,4
,,D,4,2,4,3,4,1,3,4,1,3,1,2,4,4,2,2,3,3,2,4
23,행정학개론
(지방행정 포함),B,4,3,2,1,3,2,1,4,3,4,3,2,1,2,4,1,3,4,4,3
,,D,4,2,3,1,3,2,4,1,3,4,3,1,2,2,4,1,3,4,4,3
