연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획학,나,4,1,4,4,3,4,3,4,1,3,2,3,3,3,1,2,4,4,1,2
2,건축구조학,나,2,2,3,1,3,1,3,4,4,1,2,1,1,4,1,2,3,2,2,4
3,건축시공학,나,4,2,1,2,3,3,2,1,2,4,2,4,4,1,3,3,3,3,4,4
4,경영학,나,1,3,3,3,4,1,3,2,1,4,4,1,2,4,2,4,3,2,2,4
5,경제학,나,4,3,2,4,2,3,3,4,2,4,3,2,4,1,2,2,3,1,2,1
6,공직선거법,나,3,2,3,2,4,2,1,4,3,4,4,2,1,1,2,4,1,2,4,3
7,관세법,나,2,1,3,3,4,3,2,1,1,2,1,2,3,3,4,2,3,4,3,4
8,교육학,나,3,2,3,1,4,1,2,4,2,3,2,1,2,1,3,3,3,2,2,4
9,교정학,나,1,1,3,2,4,2,4,4,2,3,4,4,1,1,2,1,3,4,2,3
10,국어,나,4,3,1,1,2,2,3,2,1,4,3,3,4,3,4,4,4,4,2,2
11,국제법,나,1,2,2,2,4,3,3,4,4,1,3,4,4,2,3,4,2,3,1,1
12,국제정치학,나,4,3,2,2,3,1,4,1,3,1,1,2,4,2,2,4,2,3,4,4
13,기계공작법,나,4,1,2,2,3,3,4,3,3,1,1,4,2,4,2,2,1,1,3,2
14,기계설계,나,4,1,2,3,1,1,4,3,3,1,4,2,3,2,4,1,3,2,1,2
15,노동법,나,2,4,1,2,1,4,1,2,2,4,3,3,4,2,2,3,4,3,1,3
16,데이터베이스론,나,3,4,3,2,3,4,1,1,3,2,2,4,1,2,2,2,3,3,3,1
17,도시계획,나,2,3,4,1,2,4,1,4,2,1,4,3,4,3,3,3,4,3,4,2
18,독어,나,2,1,3,2,1,2,4,3,3,4,1,2,3,3,4,2,4,1,3,1
19,러시아어,나,4,2,2,1,4,2,3,3,1,3,4,3,1,4,2,3,2,3,4,4
20,무역학,나,2,3,1,2,4,4,2,3,1,2,4,1,4,2,3,3,4,1,4,3
21,물리학개론,나,1,3,4,1,2,1,3,4,3,3,1,4,1,2,3,3,2,2,4,2
22,반응공학,나,3,1,2,4,1,4,2,1,4,1,3,2,1,2,4,3,3,3,4,3
23,방재관계법규,나,1,3,2,1,4,1,4,2,3,4,3,2,3,4,4,4,1,2,3,2
24,불어,나,4,3,1,2,2,4,1,1,4,1,4,2,3,2,4,3,1,2,1,4
25,생물학개론,나,2,3,1,3,2,2,4,2,1,4,1,2,2,4,4,3,2,1,1,3
26,세법,나,1,3,3,3,2,3,4,2,4,3,4,2,2,4,1,3,1,4,2,1
27,소프트웨어공학,나,4,3,1,2,2,2,4,3,3,1,2,4,2,4,2,3,1,1,4,3
28,수리수문학,나,2,3,1,1,1,4,3,4,2,4,1,2,3,2,4,2,3,3,3,2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
29,스페인어,나,3,3,4,2,1,4,4,1,2,1,2,2,1,3,1,4,4,3,2,1
30,식용작물학,나,4,3,1,3,4,4,1,4,3,3,1,2,2,1,3,1,4,2,2,2
31,심리학,나,2,4,3,4,3,3,2,1,3,2,1,4,3,3,2,1,4,2,4,1
32,안전관리론,나,2,1,4,2,4,1,1,2,4,2,4,3,3,1,3,3,1,2,3,1
33,응용역학,나,4,1,4,3,2,1,1,4,3,1,3,1,4,2,4,2,1,3,3,2
34,인사·조직론,나,2,3,2,1,3,1,2,3,3,2,1,4,3,1,4,1,2,3,4,3
35,일어,나,4,1,4,4,3,2,2,3,2,3,3,1,1,2,4,1,3,3,2,2
36,임업경영학,나,1,3,1,4,2,4,2,3,2,3,4,1,4,3,4,2,1,1,4,3
37,자동제어,나,4,1,3,2,1,4,1,4,2,2,1,3,2,3,3,2,4,2,1,4
38,자료구조론,나,3,4,4,2,3,4,2,1,1,3,4,3,1,3,2,1,1,2,1,4
39,재난관리론,나,1,3,1,1,3,4,3,4,4,2,3,4,2,3,2,1,4,3,2,1
40,재배학,나,4,4,2,3,3,2,3,1,3,2,3,4,2,2,1,1,3,3,2,4
41,전기기기,나,1,1,1,4,3,2,1,1,3,2,1,4,2,4,3,"2,3",2,3,2,1
42,전기자기학,나,1,2,2,3,1,4,2,4,3,3,3,2,3,4,4,1,4,1,2,4
43,전달현상,나,3,4,2,2,4,2,3,4,2,3,2,4,3,4,3,1,1,2,1,3
44,전자회로,나,4,1,4,3,3,2,1,2,2,4,2,4,3,1,3,4,2,3,2,1
45,정보보호론,나,2,3,1,3,4,3,1,4,4,2,4,2,4,3,2,1,2,2,3,3
46,조경학,나,1,2,2,1,4,1,4,3,4,2,2,4,3,3,2,4,2,2,4,3
47,조림학,나,3,1,1,3,2,1,3,2,1,4,1,4,3,4,3,2,4,4,2,3
48,중국어,나,2,4,3,2,1,2,1,3,3,4,3,1,2,3,3,4,4,4,2,1
49,토양학,나,1,3,2,2,3,1,4,2,3,1,2,2,4,4,2,4,3,4,2,3
50,토질역학,나,4,2,1,1,2,4,1,2,3,3,2,2,3,1,2,4,4,4,3,3
51,통계학,나,4,2,2,3,3,1,2,2,3,2,4,4,1,4,1,3,4,4,1,2
52,통신이론,나,4,3,1,4,2,4,3,4,1,1,3,2,1,3,2,2,4,2,2,4
53,한국사,나,1,4,4,3,3,1,3,1,4,2,3,1,4,3,4,2,1,2,2,3
54,행정법,나,1,4,2,3,3,4,3,1,4,4,1,1,4,4,3,1,2,2,3,2
55,행정학,나,4,2,4,3,2,3,2,4,4,1,1,2,1,3,2,3,4,3,4,3
56,헌법,나,2,2,3,3,1,2,3,4,1,3,3,2,1,3,4,4,3,4,4,2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
57,형법,나,3,4,4,3,3,1,3,1,4,2,2,1,1,4,1,2,3,2,1,4
58,형사소송법,나,4,1,3,1,2,3,3,4,4,4,1,2,2,4,4,2,2,3,4,3
59,형사정책,나,3,2,3,1,1,2,4,4,2,2,4,4,1,4,3,4,3,3,2,2
60,화공열역학,나,3,2,3,2,4,2,3,1,2,3,4,1,2,3,2,3,1,4,1,4
61,화학개론,나,3,3,4,2,1,1,4,1,1,3,4,2,2,3,2,4,4,3,1,1
62,회계학,나,1,2,3,3,2,4,3,2,3,2,1,4,4,3,4,1,2,1,2,1
63,회로이론,나,1,4,2,1,2,2,3,4,1,3,4,1,4,4,2,3,2,2,3,1
