연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
1,건축계획학,가,2,2,3,1,3,3,4,1,4,3,4,1,1,4,4,2,3,3,4,4,2,3,1,2,1
2,건축구조학,가,1,정답
없음,1,2,3,3,2,4,4,2,3,1,2,3,2,1,4,1,3,3,4,3,2,4,4
3,건축시공학,가,2,1,1,1,4,2,4,2,3,1,3,4,4,2,3,2,4,2,3,3,1,3,4,1,2
4,경영학,가,4,1,4,4,2,2,3,2,3,1,3,2,4,1,3,4,4,3,4,3,1,1,2,2,4
5,경제학,가,3,2,4,3,3,4,2,4,1,2,2,1,3,2,4,3,1,4,4,2,4,2,1,1,3
6,공직선거법,가,3,3,3,2,2,4,1,3,2,4,4,3,2,2,4,4,3,4,4,4,2,1,1,1,2
7,관세법,가,2,1,3,1,4,4,4,3,4,3,1,2,3,4,1,3,2,1,2,3,3,2,1,4,3
8,교육학,가,4,1,2,2,2,1,3,3,1,3,1,3,4,2,1,4,1,4,1,3,3,2,4,2,1
9,교정학,가,3,3,4,2,2,4,2,1,1,2,4,3,4,2,1,2,3,1,1,4,3,3,1,3,4
10,국제법,가,3,1,4,4,3,1,2,2,1,3,4,3,3,4,2,1,1,2,1,2,2,3,4,2,3
11,국제정치학,가,4,3,2,2,3,4,1,1,3,3,4,4,2,3,4,2,3,1,2,2,4,2,1,1,4
12,기계공작법,가,1,4,2,1,2,4,1,3,4,3,1,2,3,2,4,4,3,3,1,3,1,4,2,4,1
13,기계설계,가,1,2,2,3,4,4,1,4,1,1,3,4,2,3,1,1,2,3,3,3,4,2,1,2,4
14,노동법,가,1,1,1,4,3,1,3,2,4,4,2,1,4,3,1,4,2,3,4,2,2,2,3,3,2
15,데이터베이스론,가,4,4,1,4,2,1,4,4,1,3,1,3,2,2,2,2,1,4,2,3,3,3,4,2,3
16,도시계획,가,4,1,2,4,2,3,1,2,1,1,4,2,4,1,4,2,2,4,3,1,3,1,3,2,2
17,독어,가,3,2,3,1,1,2,3,1,1,3,2,4,4,4,2,4,4,1,4,1,3,2,3,3,2
18,러시아어,가,3,4,2,1,2,3,4,3,2,1,1,1,2,2,4,4,4,3,2,4,4,3,4,2,3
19,무역학,가,4,3,3,1,4,1,3,1,2,3,3,1,2,4,1,2,1,2,2,3,2,4,1,2,4
20,물리학개론,가,3,3,2,4,2,4,1,4,2,2,3,1,1,3,2,1,1,2,4,3,4,1,4,4,2
21,반응공학,가,3,4,2,1,3,4,2,3,2,4,4,3,1,4,3,1,2,4,1,1,2,3,2,1,2
22,방재관계법규,가,1,4,1,1,3,2,3,4,2,4,3,2,2,3,4,2,3,1,2,1,4,4,1,4,3
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
23,불어,가,2,4,1,4,4,2,1,2,3,1,4,1,4,4,3,1,2,1,3,1,4,2,3,2,3
24,생물학개론,가,4,1,3,1,2,1,2,4,1,3,4,4,4,2,1,3,2,3,4,4,2,1,3,2,3
25,세법,가,2,4,2,1,3,2,1,4,3,4,1,4,4,1,4,2,3,2,2,1,3,4,3,3,2
26,소프트웨어공학,가,2,1,3,4,4,1,3,2,4,3,2,1,3,1,3,2,4,1,2,4,3,4,2,3,4
27,수리수문학,가,2,2,4,1,1,4,3,3,4,3,3,4,3,1,2,2,1,3,2,3,1,1,2,4,2
28,스페인어,가,1,3,4,2,4,3,4,3,1,1,1,4,1,4,2,1,1,3,2,4,4,3,3,2,3
29,식용작물학,가,4,1,3,1,4,2,3,4,2,1,3,4,4,3,2,4,2,1,3,4,1,3,1,3,2
30,심리학,가,4,2,3,1,3,1,4,3,2,2,3,2,4,3,1,2,4,2,4,3,3,1,2,4,1
31,안전관리론,가,3,3,3,4,1,1,3,2,1,3,3,4,2,2,4,4,2,1,3,4,2,1,3,1,4
32,응용역학,가,1,2,3,2,3,1,1,2,3,2,1,3,3,1,2,4,3,2,4,4,4,2,4,1,1
33,인사·조직론,가,2,2,4,3,4,3,1,2,4,4,1,4,3,1,2,1,4,3,3,2,2,3,4,1,3
34,일어,가,3,1,2,4,1,3,1,2,2,3,4,4,3,1,2,4,4,2,3,2,1,2,3,3,1
35,임업경영학,가,4,3,1,2,3,1,3,1,2,3,4,3,1,4,4,4,4,3,2,2,2,2,1,3,2
36,자동제어,가,4,1,4,3,4,1,2,1,2,3,1,3,3,2,4,4,3,4,2,4,2,1,3,1,3
37,자료구조론,가,4,2,3,2,3,4,1,1,4,3,4,3,1,3,2,4,1,2,3,2,3,4,2,1,4
38,재난관리론,가,1,2,2,2,1,4,3,4,4,2,3,1,1,1,3,4,3,2,4,4,1,3,4,4,1
39,재배학,가,1,4,1,4,4,1,3,2,4,1,1,2,3,2,2,2,3,2,4,3,3,3,1,2,3
40,전기기기,가,2,4,3,4,3,4,1,3,1,4,2,3,2,2,1,2,3,4,1,2,2,4,1,3,3
41,전기자기학,가,1,3,2,1,3,2,4,3,2,4,4,3,1,3,2,4,2,4,4,2,1,3,1,3,1
42,전달현상,가,1,2,2,4,3,1,1,2,4,3,2,3,3,4,1,4,1,3,3,2,3,4,1,4,1
43,전자회로,가,1,4,3,2,3,4,4,3,2,1,2,1,2,3,2,4,1,1,1,3,4,2,3,2,3
44,정보보호론,가,4,3,1,2,4,2,3,2,1,4,3,4,1,3,1,3,4,3,2,1,2,4,2,1,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
45,조경학,가,4,2,3,3,2,1,1,2,4,4,3,1,4,3,3,2,3,3,1,3,2,1,2,4,2
46,조림학,가,3,3,4,1,1,1,2,2,3,1,3,1,3,4,3,4,2,1,4,3,2,4,4,4,2
47,중국어,가,2,1,3,2,4,1,2,2,4,3,4,2,1,1,4,1,3,2,2,3,1,4,4,3,3
48,토양학,가,1,3,3,2,2,2,3,3,1,2,2,4,4,1,4,2,4,4,3,1,3,3,4,1,1
49,토질역학,가,2,2,2,1,3,3,1,4,2,3,1,1,3,2,2,4,1,1,2,4,4,4,2,4,3
50,통계학,가,2,4,3,1,2,1,4,4,3,4,1,2,2,2,3,4,1,4,1,1,3,3,4,2,3
51,통신이론,가,1,2,1,1,4,2,1,4,4,3,3,4,3,3,2,3,4,2,3,2,3,1,4,4,2
52,행정법,가,1,3,4,4,2,2,2,4,4,3,1,1,3,3,1,1,4,2,2,2,1,4,3,3,2
53,행정학,가,3,2,1,1,3,4,4,2,2,1,4,4,4,3,1,3,3,3,4,2,1,4,2,2,1
54,헌법,가,4,3,3,4,3,4,3,3,1,4,2,2,1,3,1,2,4,2,1,4,2,4,1,4,1
55,형법,가,4,2,1,1,3,2,2,3,3,2,3,4,1,2,1,4,4,4,3,3,1,4,2,3,2
56,형사소송법,가,4,1,3,4,2,3,3,2,2,4,1,4,3,2,4,1,2,2,3,3,1,4,1,1,2
57,형사정책,가,2,2,3,3,2,3,4,2,4,1,2,1,1,4,4,4,2,2,1,3,4,3,4,3,1
58,화공열역학,가,1,3,4,1,2,3,3,2,4,2,1,4,2,1,3,4,3,1,2,1,1,4,3,4,4
59,화학개론,가,2,4,4,2,1,4,4,4,1,3,3,3,1,2,2,1,3,4,2,3,1,2,3,2,3
60,회계학,가,2,2,3,4,3,3,4,4,3,3,1,1,4,1,2,4,1,4,4,2,3,2,2,3,1
61,회로이론,가,1,4,2,3,2,3,1,4,3,4,3,4,2,1,1,4,2,4,3,3,3,4,2,1,1
