연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,가,4,3,4,3,4,2,3,3,2,1,4,3,2,4,2,2,1,3,1,1
2,건축구조,가,2,1,1,1,3,2,4,3,4,4,2,1,3,1,1,4,2,4,2,4
3,경제학개론,가,2,4,3,1,1,4,4,3,3,1,2,1,4,1,4,2,1,3,2,3
4,공업화학,가,3,1,1,2,3,2,1,3,2,4,4,1,3,4,1,1,4,3,1,2
5,공직선거법,가,3,3,3,4,3,2,2,4,2,1,4,1,2,1,4,4,3,1,4,1
6,관세법개론,가,3,3,2,1,4,4,2,2,2,1,4,3,1,2,1,3,4,2,1,4
7,교육학개론,가,3,4,3,2,4,3,4,2,1,3,1,2,1,4,2,1,3,4,3,2
8,교정학개론,가,4,2,2,3,1,1,2,1,3,2,2,4,2,1,4,3,4,3,4,1
9,국어,가,3,2,4,3,2,4,1,2,4,3,2,2,4,1,4,3,4,1,3,1
10,국제법개론,가,3,1,1,1,4,4,2,3,3,2,4,3,3,2,2,3,4,4,4,2
11,기계설계,가,1,4,2,4,1,3,3,4,4,2,2,2,3,2,1,4,2,1,3,4
12,기계일반,가,4,3,2,3,4,4,2,4,3,4,2,4,3,1,2,1,3,3,1,4
13,네트워크보안,가,3,3,4,4,1,2,3,3,4,1,1,4,4,4,2,1,3,1,2,1
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
14,노동법개론,가,2,1,3,1,4,4,4,1,3,2,3,4,2,3,4,1,1,2,3,4
15,무선공학개론,가,2,3,4,3,1,4,3,4,3,3,1,3,3,1,2,2,1,4,1,2
16,사회복지학개론,가,2,1,2,4,4,3,2,4,1,1,3,3,1,4,2,4,2,1,3,2
17,세법개론,가,4,2,1,4,3,1,3,4,1,3,3,2,4,3,4,2,3,4,3,2
18,식용작물,가,3,3,1,2,3,4,1,2,2,1,1,4,3,3,4,4,4,3,4,1
19,안전관리론,가,1,1,1,4,3,4,2,4,3,1,1,3,3,2,4,4,2,2,2,4
20,영어,가,1,2,4,2,1,1,4,2,1,3,4,3,2,4,2,4,3,4,1,3
21,응용역학개론,가,3,1,1,2,3,3,4,2,1,1,4,2,4,2,4,2,3,3,1,4
22,임업경영,가,3,2,3,4,1,3,1,3,3,3,3,4,4,2,2,1,2,1,4,4
23,재난관리론,가,3,3,3,4,4,1,2,1,3,1,3,2,4,3,2,2,3,2,4,1
24,재배학개론,가,1,3,4,4,3,4,1,2,2,3,1,4,2,2,3,2,1,2,3,4
25,전기기기,가,3,2,3,3,4,3,3,4,2,2,1,3,4,4,1,1,2,2,1,4
26,전기이론,가,4,3,4,4,1,2,3,정답
없음,3,1,2,1,2,1,2,3,1,3,3,1
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
27,전자공학개론,가,4,3,2,4,3,2,2,3,3,4,1,2,3,4,1,4,1,3,4,1
28,정보보호론,가,3,1,2,1,1,4,2,4,3,3,4,1,2,3,2,2,4,2,1,3
29,정보시스템보안,가,3,4,1,2,1,4,3,3,3,3,1,1,2,1,1,2,4,3,2,4
30,조경계획 및 설계,가,2,1,4,3,1,4,2,4,4,4,3,1,1,4,1,2,2,1,3,3
31,조경학,가,3,2,2,1,1,2,4,2,4,4,3,3,1,3,4,1,3,3,4,4
32,조림,가,2,3,4,1,1,3,2,1,4,4,2,3,3,4,1,3,4,1,2,3
33,직업상담·심리학개론,가,2,1,4,2,4,2,3,1,1,4,2,3,3,2,4,1,1,4,4,3
34,컴퓨터일반,가,1,4,4,1,4,4,2,2,1,4,4,2,3,3,3,2,3,2,1,2
35,토목설계,가,3,3,2,1,3,4,4,4,2,1,3,1,4,3,4,3,1,2,2,4
36,통계학개론,가,1,3,1,2,3,4,4,2,4,3,4,1,2,2,2,4,3,1,2,3
37,한국사,가,1,3,4,1,2,3,4,2,3,3,1,4,1,2,1,2,2,3,2,4
38,행정법총론,가,4,1,1,4,1,3,1,4,4,1,3,2,3,1,3,2,3,3,2,3
39,행정학개론,가,1,1,2,2,1,4,4,2,3,2,3,4,2,4,4,3,3,1,3,2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
40,형법,가,4,3,3,3,4,1,3,4,2,1,4,4,2,1,4,2,3,2,2,3
41,형법총론,가,4,3,3,3,4,1,3,4,2,1,4,4,2,2,1,4,3,2,4,3
42,형사소송법,가,2,3,1,3,4,3,4,4,1,3,2,2,1,1,3,1,4,4,4,2
43,형사소송법개론,가,2,3,1,4,4,3,4,2,3,3,2,2,1,1,3,1,4,4,2,2
44,화학공학일반,가,3,2,1,4,1,4,4,2,4,2,1,2,2,3,2,3,1,1,3,1
45,회계원리,가,4,2,3,1,2,2,3,4,4,3,2,2,3,2,4,3,3,1,1,4
46,회계학,가,2,4,2,2,3,3,4,4,3,1,3,3,4,1,2,4,4,3,2,1
