연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
1,건축계획학,나,￿4,￿3,￿4,￿3,￿1,￿2,￿3,￿2,￿3,￿2,￿4,￿1,￿4,￿4,￿2,￿1,￿4,￿4,￿4,￿2,￿2,￿2,￿1,￿3,￿3
2,건축구조학,나,￿1,￿1,￿4,￿4,￿4,￿2,￿4,￿1,￿3,￿4,￿1,￿1,￿2,￿4,￿2,￿3,￿4,￿3,￿1,￿3,￿1,￿2,￿1,￿3,￿2
3,건축시공학,나,￿1,￿4,￿2,￿3,￿3,￿4,￿1,￿4,￿1,￿3,￿2,￿3,￿4,￿1,￿3,￿4,￿1,￿4,￿1,￿2,￿1,￿4,￿2,￿4,￿2
4,경영학,나,￿3,￿2,￿3,￿4,￿3,￿1,￿2,￿3,￿4,￿4,￿2,￿1,￿3,￿4,￿1,￿3,￿2,￿1,￿4,￿3,￿1,￿1,￿4,￿2,￿2
5,경제학,나,￿4,￿2,￿4,￿4,￿2,￿1,￿1,￿3,￿3,￿2,￿3,￿2,￿1,￿2,￿3,￿3,￿1,￿2,￿3,￿4,￿1,￿4,￿4,￿2,￿3
6,공직선거법,나,￿4,￿1,￿4,￿2,￿3,￿3,￿4,￿2,￿1,￿3,￿2,￿4,￿4,￿2,￿1,￿1,￿4,￿2,￿1,￿3,￿4,￿3,￿3,￿4,￿3
7,관세법,나,￿4,￿3,￿2,￿4,￿3,￿3,￿2,￿2,￿3,￿3,￿4,￿1,￿4,￿1,￿4,￿2,￿4,￿4,￿2,￿1,￿2,￿3,￿4,￿2,￿1
8,교육학,나,￿2,￿1,￿2,￿1,￿3,￿3,￿4,￿2,￿4,￿2,￿1,￿3,￿4,￿2,￿1,￿2,￿3,￿2,￿3,￿1,￿4,￿3,￿1,￿4,￿3
9,교정학,나,￿4,￿1,￿3,￿2,￿4,￿2,￿4,￿3,￿2,￿4,￿1,￿1,￿3,￿3,￿2,￿1,￿3,￿4,￿2,￿2,￿1,￿1,￿1,￿4,￿2
10,국제법,나,￿3,￿1,￿1,￿2,￿1,￿2,￿2,￿3,￿3,￿2,￿2,￿4,￿4,￿3,￿3,￿3,￿2,￿4,￿1,￿4,￿1,￿2,￿4,￿4,￿2
11,국제정치학,나,￿3,￿4,￿3,￿1,￿3,￿3,￿1,￿4,￿1,￿4,￿3,￿3,￿4,￿2,￿4,￿2,￿2,￿1,￿2,￿1,￿2,￿4,￿2,￿3,￿1
12,기계공작법,나,￿1,￿1,￿3,￿4,￿1,￿4,￿3,￿3,￿3,￿1,￿4,￿2,￿2,￿3,￿4,￿3,￿2,￿4,￿2,￿3,￿3,￿2,￿1,￿2,￿1
13,기계설계,나,￿1,￿4,￿1,￿4,￿3,￿3,￿3,￿1,￿2,￿2,￿1,￿4,￿2,￿3,￿3,￿1,￿2,￿4,￿2,￿2,￿2,￿3,￿4,￿2,￿3
14,노동법,나,￿2,￿4,￿2,￿4,￿3,￿1,￿2,￿4,￿3,￿3,￿2,￿3,￿2,￿4,￿4,￿3,￿1,￿1,￿1,￿3,￿4,￿3,￿2,￿1,￿2
15,데이터베이스론,나,￿2,￿2,￿4,￿4,￿3,￿4,￿2,￿1,￿4,￿4,￿4,￿3,￿4,￿3,￿1,￿3,￿2,￿2,￿3,￿2,￿1,￿1,￿2,￿4,￿1
16,도시계획,나,￿3,￿4,￿4,￿1,￿1,￿4,￿3,￿4,￿3,￿3,￿2,￿3,￿1,￿3,￿2,￿1,￿1,￿4,￿2,￿3,￿4,￿1,￿2,￿2,￿2
17,독어,나,￿3,￿4,￿2,￿4,￿1,￿4,￿3,￿3,￿4,￿2,￿3,￿2,￿4,￿3,￿4,￿2,￿4,￿2,￿1,￿4,￿3,￿2,￿3,￿1,￿1
18,러시아어,나,￿2,￿2,￿1,￿4,￿3,￿1,￿4,￿2,￿4,￿2,￿1,￿3,￿1,￿3,￿1,￿4,￿3,￿3,￿4,￿2,￿4,￿3,￿4,￿4,￿1
19,무역학,나,￿4,￿3,￿4,￿3,￿1,￿2,￿1,￿4,￿2,￿4,￿3,￿2,￿4,￿2,￿1,￿1,￿2,￿2,￿4,￿3,￿4,￿1,￿3,￿2,￿1
20,물리학개론,나,￿2,￿1,￿4,￿3,￿3,￿1,￿4,￿4,￿3,￿1,￿1,￿4,￿4,￿1,￿4,￿2,￿3,￿3,￿3,￿4,￿2,￿1,￿2,￿4,￿2
21,반응공학,나,￿1,￿3,￿3,￿3,￿1,￿4,￿4,￿4,￿3,￿2,￿2,￿1,￿2,￿1,￿1,￿4,￿2,￿3,￿4,￿3,￿1,￿1,￿4,￿4,￿3
22,방재관계법규,나,￿2,￿3,￿1,￿1,￿2,￿1,￿2,￿4,￿2,￿4,￿2,￿1,￿3,￿3,￿2,￿4,￿2,￿3,￿4,￿1,￿3,￿3,￿4,￿3,￿2
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
23,불어,나,￿3,￿1,￿3,￿4,￿3,￿3,￿4,￿1,￿1,￿4,￿4,￿4,￿1,￿3,￿2,￿3,￿1,￿1,￿2,￿1,￿2,￿4,￿2,￿2,￿4
