연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획학,B,3,4,3,1,3,2,4,2,1,3,2,3,2,2,4,1,4,1,4,1
2,건축구조학,B,3,1,2,2,3,1,1,1,3,1,2,4,2,2,3,3,4,1,4,4
3,건축시공학,B,3,3,4,4,3,1,4,4,3,2,3,1,2,4,2,1,2,3,1,2
4,경제학원론,B,1,3,3,3,1,2,4,1,1,4,4,3,2,2,3,3,1,4,2,2
5,국어(한문 포함),B,2,4,4,3,3,4,3,4,2,1,2,1,4,2,4,1,3,3,3,3
6,물리학개론,B,3,3,3,4,2,4,2,4,1,1,2,2,4,3,2,4,2,3,1,3
7,생물학개론,B,4,1,4,2,2,3,4,1,2,4,1,3,2,4,3,3,1,3,4,1
8,수리수문학,B,2,4,1,4,2,1,3,3,2,3,2,4,1,2,4,2,4,3,2,1
9,응용역학,B,3,2,3,2,1,3,2,4,4,2,1,2,3,3,2,3,4,1,4,4
10,임업경영학,B,2,1,4,2,4,1,2,3,4,3,3,2,1,3,1,3,4,3,4,1
11,조경학,B,3,3,1,2,2,2,4,3,3,4,4,1,1,4,1,2,4,4,1,4
12,조림학,B,1,3,4,3,3,2,1,1,4,3,3,2,3,1,4,3,2,2,1,4
13,지방자치론,B,3,3,4,3,1,4,2,4,2,2,1,2,1,4,4,4,3,2,1,4
14,지역개발론,B,2,4,4,4,3,1,2,3,3,2,1,1,4,2,2,1,3,2,4,3
15,토질역학,B,2,2,4,3,2,1,3,1,4,3,2,3,4,3,3,2,2,4,1,3
16,행정법,B,3,4,1,2,1,2,4,4,3,2,3,4,3,2,4,2,1,4,3,3
17,행정학,B,3,3,1,4,1,4,1,4,3,2,1,4,4,2,2,3,2,2,3,2
18,헌법,B,4,2,3,2,3,3,4,3,4,1,1,1,4,1,2,4,2,4,3,1
