연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
1,건축계획,A,￿2,￿4,￿4,￿3,￿2,￿3,￿1,￿4,￿1,￿1,￿2,￿3,￿4,￿2,￿4,￿2,￿3,￿2,￿1,￿3
2,건축구조,A,￿4,￿4,￿3,￿3,￿1,￿3,￿4,￿3,￿1,￿4,￿2,￿4,￿1,￿3,￿2,￿1,￿2,￿2,￿3,￿2
3,기계일반,A,￿2,￿1,￿3,￿1,￿3,￿4,￿4,￿4,￿3,￿2,￿3,￿2,￿2,￿4,￿1,￿2,￿4,￿1,￿1,￿1
4,기계제도,A,￿2,￿1,￿1,￿1,￿3,￿1,￿4,￿3,￿3,￿2,￿1,￿2,￿3,￿1,￿1,￿3,￿2,￿4,￿3,￿4
5,물리,A,￿1,￿2,￿2,￿3,￿2,￿1,￿3,￿2,￿4,￿2,￿1,￿4,￿2,￿1,￿3,￿4,￿1,￿4,￿4,￿3
6,생물,A,￿4,￿3,￿2,￿1,￿2,￿2,￿2,￿4,￿4,￿1,￿1,￿3,￿2,￿3,￿3,￿3,￿2,￿3,￿3,￿4
7,재배,A,￿3,￿1,￿1,￿2,￿3,￿2,￿1,￿3,￿3,￿4,￿4,￿1,￿4,￿4,￿2,￿3,￿1,￿3,￿4,￿4
8,전기기기,A,￿2,￿1,￿3,￿3,￿4,￿3,￿1,￿4,￿3,￿4,￿4,￿3,￿4,￿4,￿2,￿1,￿1,￿4,￿1,￿2
9,전기이론,A,￿2,￿3,￿4,￿1,￿3,￿4,￿4,￿3,￿2,￿2,￿1,￿2,￿3,￿1,￿1,￿2,￿2,￿3,￿1,￿3
10,측량,A,￿3,￿2,￿4,￿3,￿4,￿2,￿2,￿4,￿2,￿1,￿3,￿4,￿3,￿1,￿3,￿2,￿4,￿1,￿1,￿2
11,토목일반,A,￿1,￿2,￿2,￿4,￿4,￿1,￿3,￿2,￿1,￿2,￿4,￿4,￿3,￿2,￿4,￿1,￿3,￿2,￿3,￿4
