문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,3,2,2,2,3,2
정 답,3,2,4,5,5,1,3,5,3,1
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,2,2,2,3,2,2,2,2,3
정 답,4,5,5,2,1,1,2,4,5,2
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,3,2,3,2,2,2,3,2
정 답,4,4,5,4,2,3,5,3,2,2
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,2,2,2,3,2,2,2,3,2
정 답,3,1,1,3,5,3,4,3,4,4
문항,41,42,43,44,45,,,,,
배 점,2,2,2,3,2,,,,,
정 답,5,1,4,1,2,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,2,2,2,2,2,2,2,2,3,2
정 답,①,②,③,③,①,②,④,①,④,④
문항,11,12,13,14,15,16,17,18,19,20
배 점,2,3,2,2,2,2,2,2,3,3
정 답,③,②,⑤,②,④,⑤,②,①,①,③
문항,21,22,23,24,25,26,27,28,29,30
배 점,2,2,3,2,2,3,2,2,2,2
정 답,④,②,①,①,③,②,⑤,①,④,④
문 항,31,32,33,34,35,36,37,38,39,40
배 점,2,2,3,3,2,2,2,2,2,3
정 답,⑤,③,⑤,④,⑤,③,①,②,⑤,⑤
문항,41,42,43,44,45,,,,,
배 점,2,3,2,2,2,,,,,
정 답,③,④,③,⑤,⑤,,,,,
문 항,1,2,3,4,5,6,7,8,9,10
배 점,3점,3점,3점,3점,4점,4점,4점,4점,4점,4점
정 답,②,①,②,①,⑤,①,④,④,③,②
문항,11,12,13,14,15,16,17,18,19,20
배 점,4점,4점,4점,4점,4점,4점,5점,5점,5점,5점
정 답,③,④,②,④,⑤,④,⑤,③,④,②
문항,21,22,23,24,25,,,,,
배 점,3점,4점,4점,4점,5점,,,,,
정 답,,,,,,,,,,
